Timestamp,Device_Type,EMG,PPG_IR,PPG_Red,PPG_Green
2025-12-14T20:42:38Z,Oralable,0,524287,119521,153
2025-12-14T20:42:38Z,Oralable,0,524287,119521,153
2025-12-14T20:42:38Z,Oralable,0,524287,119653,153
2025-12-14T20:42:38Z,Oralable,0,524287,119653,47
2025-12-14T20:42:38Z,Oralable,0,524287,119653,47
2025-12-14T20:42:38Z,Oralable,0,524287,119653,47
2025-12-14T20:42:38Z,Oralable,0,524287,119653,47
2025-12-14T20:42:38Z,Oralable,0,524287,119653,47
2025-12-14T20:42:38Z,Oralable,0,524287,119628,47
2025-12-14T20:42:38Z,Oralable,0,524287,119628,19
2025-12-14T20:42:38Z,Oralable,0,524287,119628,19
2025-12-14T20:42:38Z,Oralable,0,524287,119628,19
2025-12-14T20:42:38Z,Oralable,0,524287,119628,19
2025-12-14T20:42:38Z,Oralable,0,524287,119628,19
2025-12-14T20:42:38Z,Oralable,0,524287,119628,19
2025-12-14T20:42:38Z,Oralable,0,524287,119820,19
2025-12-14T20:42:38Z,Oralable,0,524287,119820,0
2025-12-14T20:42:38Z,Oralable,0,524287,119820,0
2025-12-14T20:42:38Z,Oralable,0,524287,119666,0
2025-12-14T20:42:38Z,Oralable,0,524287,119666,16
2025-12-14T20:42:38Z,Oralable,0,524287,119666,16
2025-12-14T20:42:38Z,Oralable,0,524287,119666,16
2025-12-14T20:42:38Z,Oralable,0,524287,119666,16
2025-12-14T20:42:38Z,Oralable,0,524287,119666,16
2025-12-14T20:42:38Z,Oralable,0,524287,119666,16
2025-12-14T20:42:38Z,Oralable,0,524287,119501,16
2025-12-14T20:42:38Z,Oralable,0,524287,119501,0
2025-12-14T20:42:38Z,Oralable,0,524287,119501,0
2025-12-14T20:42:38Z,Oralable,0,524287,119501,0
2025-12-14T20:42:38Z,Oralable,0,524287,119501,0
2025-12-14T20:42:38Z,Oralable,0,524287,119501,0
2025-12-14T20:42:38Z,Oralable,0,524287,119673,0
2025-12-14T20:42:38Z,Oralable,0,524287,119673,72097
2025-12-14T20:42:38Z,Oralable,0,524287,119673,72097
2025-12-14T20:42:38Z,Oralable,0,524287,119673,72097
2025-12-14T20:42:38Z,Oralable,0,524287,119673,72097
2025-12-14T20:42:38Z,Oralable,0,524287,119673,72097
2025-12-14T20:42:38Z,Oralable,0,524287,119847,72097
2025-12-14T20:42:38Z,Oralable,0,524287,119847,3
2025-12-14T20:42:38Z,Oralable,0,524287,119847,3
2025-12-14T20:42:38Z,Oralable,0,524287,119847,3
2025-12-14T20:42:38Z,Oralable,0,524287,119847,3
2025-12-14T20:42:38Z,Oralable,0,524287,119847,3
2025-12-14T20:42:38Z,Oralable,0,524287,119847,3
2025-12-14T20:42:38Z,Oralable,0,524287,119710,3
2025-12-14T20:42:38Z,Oralable,0,524287,119710,0
2025-12-14T20:42:38Z,Oralable,0,524287,119710,0
2025-12-14T20:42:38Z,Oralable,0,524287,120021,0
2025-12-14T20:42:38Z,Oralable,0,524287,120021,0
2025-12-14T20:42:38Z,Oralable,0,524287,120021,0
2025-12-14T20:42:38Z,Oralable,0,524287,120021,0
2025-12-14T20:42:38Z,Oralable,0,524287,120021,0
2025-12-14T20:42:38Z,Oralable,0,524287,120021,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119583,0
2025-12-14T20:42:38Z,Oralable,0,524287,119644,0
2025-12-14T20:42:38Z,Oralable,0,524287,119644,63
2025-12-14T20:42:38Z,Oralable,0,524287,119644,63
2025-12-14T20:42:38Z,Oralable,0,524287,119644,63
2025-12-14T20:42:38Z,Oralable,0,524287,119644,63
2025-12-14T20:42:38Z,Oralable,0,524287,119644,0
2025-12-14T20:42:38Z,Oralable,0,524287,119644,0
2025-12-14T20:42:38Z,Oralable,0,524287,119684,0
2025-12-14T20:42:39Z,Oralable,0,524287,119684,0
2025-12-14T20:42:39Z,Oralable,0,524287,119684,0
2025-12-14T20:42:39Z,Oralable,0,524287,119684,0
2025-12-14T20:42:39Z,Oralable,0,524287,119684,0
2025-12-14T20:42:39Z,Oralable,0,524287,119820,0
2025-12-14T20:42:39Z,Oralable,0,524287,119820,0
2025-12-14T20:42:39Z,Oralable,0,524287,119820,72005
2025-12-14T20:42:39Z,Oralable,0,524287,119820,0
2025-12-14T20:42:39Z,Oralable,0,524287,119820,0
2025-12-14T20:42:39Z,Oralable,0,524287,119808,0
2025-12-14T20:42:39Z,Oralable,0,524287,119808,0
2025-12-14T20:42:39Z,Oralable,0,524287,119808,0
2025-12-14T20:42:39Z,Oralable,0,524287,119808,0
2025-12-14T20:42:40Z,Oralable,0,524287,119808,120
2025-12-14T20:42:40Z,Oralable,0,524287,119808,120
2025-12-14T20:42:40Z,Oralable,0,524287,119676,120
2025-12-14T20:42:40Z,Oralable,0,524287,119676,120
2025-12-14T20:42:40Z,Oralable,0,524287,119676,120
2025-12-14T20:42:40Z,Oralable,0,524287,119676,120
2025-12-14T20:42:40Z,Oralable,0,524287,119676,120
2025-12-14T20:42:40Z,Oralable,0,524287,119729,120
2025-12-14T20:42:40Z,Oralable,0,524287,119729,120
2025-12-14T20:42:40Z,Oralable,0,524287,119729,0
2025-12-14T20:42:40Z,Oralable,0,524287,119729,0
2025-12-14T20:42:40Z,Oralable,0,524287,119729,0
2025-12-14T20:42:40Z,Oralable,0,524287,119729,0
2025-12-14T20:42:40Z,Oralable,0,524287,119561,0
2025-12-14T20:42:40Z,Oralable,0,524287,119561,0
2025-12-14T20:42:40Z,Oralable,0,524287,119561,140
2025-12-14T20:42:41Z,Oralable,0,524287,119561,140
2025-12-14T20:42:41Z,Oralable,0,524287,119561,140
2025-12-14T20:42:41Z,Oralable,0,524287,119561,140
2025-12-14T20:42:41Z,Oralable,0,524287,119561,140
2025-12-14T20:42:41Z,Oralable,0,524287,119561,0
2025-12-14T20:42:41Z,Oralable,0,524287,119561,0
2025-12-14T20:42:41Z,Oralable,0,524287,119797,0
2025-12-14T20:42:41Z,Oralable,0,524287,119797,0
2025-12-14T20:42:41Z,Oralable,0,524287,119797,0
2025-12-14T20:42:41Z,Oralable,0,524287,119647,0
2025-12-14T20:42:41Z,Oralable,0,524287,119647,0
2025-12-14T20:42:41Z,Oralable,0,524287,119647,0
2025-12-14T20:42:41Z,Oralable,0,524287,119647,0
